Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
							3	Cyclohexanone, 2-methyl-5-(1-methylethenyl)- $$ Cyclohexanone, 2-methyl-5-(1-methylethenyl)-, trans- $$ p-Menth-8-en-2-one, trans- $$ trans-2-methyl-5-(1-methylethenyl)-cyclohexanone $$ 5-ISOPROPENYL-2-METHYLCYCLOHEXANONE $$ (+)-Dihydrocarvone	38	152,12	005948-04-9	C:\Database\W10N11_Full.L	76851
28	11,977	2476	527668	32070	40274	0,024	1	Bicyclo[2.2.1]heptane, 7,7-dimethyl-2-methylene- $$ Norbornane, 7,7-dimethyl-2-methylene- $$ 7,7-DIMETHYL-2-METHYLENEBICYCLO[2.2.1]HEPTANE $$ .alpha.-FENCHEN $$ .alpha.-Fenchene $$ 7,7-dimethyl-2-methylene-norbornane $$ Fenchene	53	136,125	000471-84-1	C:\Database\W10N11_Full.L	48742
							2	4,7-Methano-1H-indene, octahydro- $$ 4,7-Methanoindan, hexahydro- $$ Octahydro-4,7-methano indene $$ Tricyclo[5.1.0-2.6]decane $$ Tetrahydrodicyclopentadiene $$ Bicyclo(2.2.1)heptane, 2,3-(1,3-propanediyl)- $$ Hexahydro-4,7-methanoindan $$ NSC 22464	53	136,125	006004-38-2	C:\Database\W10N11_Full.L	48342
							3	Ethyl (1R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl carbonate	52	226,157	2000280-96-5	C:\Database\W10N11_Full.L	280965
29	12,044	2490	49450212	3163822	3171925	0,024	1	ortho-Methoxyacetophenone $$ 2-Methoxyacetophenone $$ o-Methoxyacetophenone $$ 2'-Methoxyacetophenone $$ o-Acetanisole $$ Ethanone, 1-(2-methoxyphenyl)- $$ o-Acetylanisole $$ Acetophenone, 2'-methoxy- $$ o-Methoxy acetophenone	97	150,068	000579-74-8	C:\Database\W10N11_Full.L	71385
							2	Ethanone, 1-(4-methoxyphenyl)- $$ 1-(4-METHOXYPHENYL)ETHANONE $$ 4'-Methoxyacetophenone $$ 4-Acetylanisole $$ 4-Methoxyacetofenon $$ 4-METHOXYACETOPHENON $$ 4-Methoxyacetophenone $$ 4-Methoxyphenyl methyl ketone $$ Acetanisole $$ EPENONE $$ Novatone	86	150,068	000100-06-1	C:\Database\W10N11_Full.L	71547
							3	(R)-(+)-1-(2-Methoxybenzoyl)-2-pyrrolidinemethanol $$ [1-(2-Methoxybenzoyl)-2-pyrrolidinyl]methanol #	72	235,121	2000308-51-6	C:\Database\W10N11_Full.L	308516
30	12,239	2531	6430679	269399	277194	0,034	1	2-Propen-1-ol, 3-phenyl- $$ (2E)-3-PHENYL-2-PROPEN-1-OL $$ (E)-3-phenyl-2-propen-1-ol $$ (E)-3-phenylprop-2-en-1-ol $$ (trans)-Cinnamyl Alcohol $$ (Z)-3-PHENYL-2-PROPEN-1-OL OR CIS-CINNAMYL ALCOHOL $$ .gamma.-Phenylallyl alcohol $$ ALKOHOL SKORICOVY	95	134,073	000104-54-1	C:\Database\W10N11_Full.L	44506
							2	2-Propenoic acid, 3-phenyl-, methyl ester $$ Cinnamic acid, methyl ester $$ Methyl cinnamate $$ Methyl cinnamylate $$ Methyl 3-phenylpropenoate $$ Methyl 3-phenyl-2-propenoate $$ Methyl 3-phenylacrylate $$ Methyl ester of cinnamic acid $$ NSC 9411	66	162,068	000103-26-4	C:\Database\W10N11_Full.L	98212
							3	1,3-Benzodioxole, 5-(2-propenyl)- $$ Benzene, 4-allyl-1,2-(methylenedioxy)- $$ (1,2-(METHYLENEDIOXY)-4-ALLYL)BENZENE $$ (Allyldioxy)benzene methylene ether $$ 1,3-BENZODIOXOL, 5-(2-PROPENYL)- $$ 1,3-BENZODIOXOLE, 5-ALLYL- $$ 4-ALLYLPYROCATECHOL	45	162,068	000094-59-7	C:\Database\W10N11_Full.L	98581
31	12,525	2591	535476	25690	33031	0,029	1	Cyclohexasiloxane, dodecamethyl- $$ Dodecamethylcyclohexasiloxane $$ 2,2,4,4,6,6,8,8,10,10,12,12-Dodecamethylcyclohexasiloxane #	91	444,113	000540-97-6	C:\Database\W10N11_Full.L	816767
							2	METHYL 2,3-BIS(TRIMETHYLSILYLOXY)-5-DEUTEROPHENYLPROPIONATE	38	341,159	2000629-66-7	C:\Database\W10N11_Full.L	629667
							3	Trimethylsilyl)-{bis[methyl(trimethylsilyloxy)silyloxy] -oxytrimethylsilane}	38	458,165	2000830-51-9	C:\Database\W10N11_Full.L	830519
32	12,754	2639	409709	18958	25941	0,031	1	Benzoic acid, 2-methoxy-, methyl ester $$ 2-methoxy-benzoic acid $$ 2-methoxy-benzoic acid methyl ester $$ DIMETHYL DERIVATIVE OF SALICYLIC ACID $$ DIMETHYL SALICYLATE $$ METHOXY METHYLBENZOATE, O- $$ methyl 2-methoxy-benzoate $$ METHYL ANISATE	91	166,063	000606-45-1	C:\Database\W10N11_Full.L	107478
							2	ortho-Methoxyacetophenone $$ 2-Methoxyacetophenone $$ o-Methoxyacetophenone $$ 2'-Methoxyacetophenone $$ o-Acetanisole $$ Ethanone, 1-(2-methoxyphenyl)- $$ o-Acetylanisole $$ Acetophenone, 2'-methoxy- $$ o-Methoxy acetophenone	64	150,068	000579-74-8	C:\Database\W10N11_Full.L	71385
							3	2-Methoxybenzoic acid, 2,5-dichlorophenyl ester	59	296,001	2000502-43-9	C:\Database\W10N11_Full.L	502439
33	12,825	2654	1374406	80160	87030	0,027	1	Caryophyllane $$ (1R,9R)-2,6,10,10-tetramethylbicyclo[7.2.0]undecane	64	208,219	2000225-57-3	C:\Database\W10N11_Full.L	225573
							2	salvialane	43	208,219	000000-00-0	C:\Database\W10N11_Full.L	225497
							3	Cyclopenten-4-one, 1,2,3,3-tetramethyl- $$ 2,2,3,4-tetramethyl-1-cyclopent-3-enone $$ 2,2,3,4-TETRAMETHYL-3-CYCLOPENTEN-1-ONE $$ 2,2,3,4-tetramethylcyclopent-3-en-1-one $$ CYCLOPENTEN-4-ON, 1,2,3,3-TETRAMETHYL-	30	138,104	2000051-19-0	C:\Database\W10N11_Full.L	51190
34	13,325	2759	219693	12487	22732	0,029	1	3-Methylene-bicyclo[3.2.1]oct-6-en-8-ol $$ 3-methylene-8-bicyclo[3.2.1]oct-6-enol $$ 3-methylidenebicyclo[3.2.1]oct-6-en-8-ol	41	136,089	2000047-69-5	C:\Database\W10N11_Full.L	47695
							2	Cyclohexene, 1-methyl-4-(1-methylethylidene)- $$ p-Mentha-1,4(8)-diene $$ 1-METHYL-4-(1-METHYLETHYLIDENE)-1-CYCLOHEXENE $$ .alpha.- TERPINOLEN $$ .alpha.-TERPINOLENE $$ 1,4(8)-P-MENTHADIENE $$ 1,4(8)-TERPADIENE $$ iso-terpinene $$ NOFMER TP	38	136,125	000586-62-9	C:\Database\W10N11_Full.L	48371
							3	1-Methyltricyclo[2.2.1.0(2,6)]heptane	38	108,094	004601-85-8	C:\Database\W10N11_Full.L	16370
35	13,411	2777	4311345	248254	259913	0,029	1	2-Propenoic acid, 3-phenyl-, methyl ester $$ Cinnamic acid, methyl ester $$ METHYL (2E)-3-PHENYL-2-PROPENOATE $$ (E)-3-phenyl-2-propenoic acid, methyl ester $$ (E)-3-phenylacrylic acid methyl ester $$ (E)-Methyl cinnamate $$ MC $$ methyl cinnamate	97	162,068	000103-26-4	C:\Database\W10N11_Full.L	98203
							2	2-Propenoic acid, 3-phenyl-, methyl ester, (Z)- $$ Cinnamic acid, methyl ester, (Z)- $$ (Z)-3-phenyl-2-propenoic acid, methyl ester $$ (Z)-3-phenylacrylic acid methyl ester $$ (Z)-ZIMTSAEURE, METHYLESTER $$ cis-cinnamic acid methyl ester	96	162,068	019713-73-6	C:\Database\W10N11_Full.L	98227
							3	(Z)-3-phenyl-2-propenoic acid, methyl ester $$ (Z)-3-phenylacrylic acid methyl ester $$ (Z)-ZIMTSAEURE, METHYLESTER $$ 2-PROPENOIC ACID, 3-PHENYL-, METHYL ESTER, (Z)- $$ CINNAMIC ACID, METHYL ESTER, (Z)- $$ cis-cinnamic acid methyl ester	91	162,068	2000098-22-8	C:\Database\W10N11_Full.L	98228
36	13,725	2843	241860	25322	40903	0,017	1	1,1-Dodecanediol, diacetate $$ 1-(Acetyloxy)dodecyl acetate #	62	286,214	056438-07-4	C:\Database\W10N11_Full.L	472953
							2	1-Dotriacontanol $$ dotriacontan-1-ol $$ Dotriacontanol $$ n-Dotriacontanol $$ NSC 53834	58	466,511	006624-79-9	C:\Database\W10N11_Full.L	838743
							3	Oxirane, tetradecyl- $$ Hexadecane, 1,2-epoxy- $$ Hexadecylene oxide $$ 1,2-Epoxyhexadecane $$ 1,2-Hexadecane oxide $$ 1,2-Hexadecene epoxide $$ Hexadecene epoxide $$ NCI-C55538 $$ HEXADECAN, 1,2-EPOXI- $$ 2-Tetradecyloxirane $$ AI3-32877	53	240,245	007320-37-8	C:\Database\W10N11_Full.L	327063
37	13,768	2852	472789	30807	45622	0,025	1	Benzene, 1,3,5-trimethoxy- $$ Phloroglucinol trimethyl ether $$ 1,3,5-Trimethoxybenzene $$ 1,3,5-Trimethyoxybenzene	93	168,079	000621-23-8	C:\Database\W10N11_Full.L	112720
							2	3,5-Dimethoxybenzyl alcohol $$ Benzenemethanol, 3,5-dimethoxy- $$ 3,5-Dimethoxybenzenemethanol $$ (3,5-Dimethoxyphenyl)methanol #	83	168,079	000705-76-0	C:\Database\W10N11_Full.L	112569
							3	1(2H)-Acenaphthylenone $$ 1-Acenaphthenone $$ Acenaphthenone $$ 2-Acenaphthenone $$ NSC 18756	58	168,058	002235-15-6	C:\Database\W10N11_Full.L	114922
38	14,354	2975	170687	13189	21308	0,022	1	5,9-Undecadien-2-one, 6,10-dimethyl-, (E)- $$ trans-Geranylacetone $$ Acetone, geranyl- $$ Geranyl acetone $$ (5E)-6,10-Dimethyl-5,9-undecadien-2-one # $$ 6,10-dimethyl-5,9-undecadien-2-one, (E) $$ 6,10-dimethyl-(E)-5,9-undecadien-2-one	38	194,167	003796-70-1	C:\Database\W10N11_Full.L	182914
							2	5,9-Undecadien-2-one, 6,10-dimethyl-, (Z)- $$ cis-Geranylacetone $$ Nerylacetone $$ (5Z)-6,10-Dimethyl-5,9-undecadien-2-one # $$ cis-6,10-dimethyl-5,9-undecadien-2-one	35	194,167	003879-26-3	C:\Database\W10N11_Full.L	182927
							3	5,9-Undecadien-2-one, 6,10-dimethyl- $$ 6,10-Dimethyl-5,9-undecadien-2-one $$ 6,10-Dimethyl-undeca-5,9-dien-2-one $$ Dihydropseudoionone $$ .alpha.,.beta.-Dihydropseudoionone $$ NSC 406679 $$ 2,6-Dimethylundeca-2,6-dien-10-one	27	194,167	000689-67-8	C:\Database\W10N11_Full.L	182913
39	14,611	3029	1861004	107505	117623	0,026	1	Cyclododecane	97	168,188	000294-62-2	C:\Database\W10N11_Full.L	115015
							2	1-Dodecene $$ .alpha.-Dodecene $$ n-Dodec-1-ene $$ Adacene 12 $$ Dodec-1-ene $$ .alpha.-Dodecylene $$ Dodecylene .alpha.- $$ Dodecene-1 $$ Neodene 12 $$ NSC 12016	96	168,188	000112-41-4	C:\Database\W10N11_Full.L	114996
							3	1-Decene $$ n-1-Decene $$ Dec-1-ene $$ 1-C10H20 $$ Decylene $$ .alpha.-Decene $$ 1-n-Decene $$ Decene-1 $$ Neodene 10 $$ NSC 62122 $$ Linealene 10	95	140,157	000872-05-9	C:\Database\W10N11_Full.L	55283
40	14,939	3098	1129305	54819	61753	0,031	1	Naphthalene, 1,2,3,5,6,7,8,8a-octahydro-1,8a-dimethyl-7-(1-methylethenyl)-, [1S-(1.alpha.,7.alpha.,8a.alpha.)]- $$ Eremophila-1(10),11-diene $$ Eremophilene $$ 3-Isopropenyl-4a,5-dimethyl-1,2,3,4,4a,5,6,7-octahydronaphthalene #	90	204,188	010219-75-7	C:\Database\W10N11_Full.L	212401
							2	.alpha.-Guaiene $$ Azulene, 1,2,3,4,5,6,7,8-octahydro-1,4-dimethyl-7-(1-methylethenyl)-, [1S-(1.alpha.,4.alpha.,7.alpha.)]- $$ Guaia-1(5),11-diene $$ 7-Isopropenyl-1,4-dimethyl-1,2,3,4,5,6,7,8-octahydroazulene-, [1S-(1.alpha.,4.alpha.,7.alpha.)]-	86	204,188	003691-12-1	C:\Database\W10N11_Full.L	211691
							3	Azulene, 1,2,3,3a,4,5,6,7-octahydro-1,4-dimethyl-7-(1-methylethenyl)-, [1R-(1.alpha.,3a.beta.,4.alpha.,7.beta.)]- $$ 1.beta.,4.beta.H,10.beta.H-Guaia-5,11-diene $$ .gamma.-Gurjunene $$ 7-Isopropenyl-1,4-dimethyl-1,2,3,3a,4,5,6,7-octahydroazulene #	70	204,188	022567-17-5	C:\Database\W10N11_Full.L	211809
41	15,02	3115	177587	12359	26484	0,024	1	Amine, dimethyl-2-phosphinoethyl- $$ N,N-Dimethyl-2-phosphinoethanamine #	72	105,071	161944-90-7	C:\Database\W10N11_Full.L	14751
							2	1-Octadecanamine, N,N-dimethyl- $$ (Hydrochloride salt) dimantine $$ ADMA 18 $$ ADOGEN 342D $$ ADOGEN MA-108 SF $$ AMINE 2M18D $$ ARMEEN DM 18D $$ ARMINE DM18D $$ BARLENE 18S $$ CRODAMINE 3.A18D $$ DIMANTHINE $$ DIMANTINA $$ DIMANTINE $$ DIMANTINUM	64	297,34	000124-28-7	C:\Database\W10N11_Full.L	507919
							3	4-Pentenylamine, N,N-dimethyl- $$ 4-PENTENYLAMIN, N,N-DIMETHYL- $$ N,N-Dimethyl-4-penten-1-amine $$ N,N-Dimethyl-4-penten-1-amine (computer-generated name) $$ DIMETHYL-PENT-4-ENYL-AMINE $$ N,N-DIMETHYL-N-(4-PENTENYL)AMINE	64	113,12	001001-91-8	C:\Database\W10N11_Full.L	20594
42	15,096	3131	11035044	749952	768835	0,025	1	(3E,6E)-3,7,11-TRIMETHYL-1,3,6,10-DODECATETRAENE $$ (3E,6E)-3,7,11-trimethyldodeca-1,3,6,10-tetraene $$ (E)-FARNESENE $$ (E,E)-.alpha.-FARNESENE $$ .alpha.-FARNESENE $$ .alpha.-FARNESENE, (E,E)- $$ .alpha.-FARNESENE, (Z,E)- $$ .beta.-(E)-FARNESENE	99	204,188	000502-61-4	C:\Database\W10N11_Full.L	211781
							2	1,3,6,10-Dodecatetraene, 3,7,11-trimethyl-, (Z,E)- $$ (Z,E)-.alpha.-Farnesene $$ (3Z,6E)-3,7,11-Trimethyl-1,3,6,10-dodecatetraene $$ .alpha.-(Z,E)-Farnesene $$ (3Z,6E)- .alpha.-Farnesene $$ cis,trans-.alpha.-Farnesene	74	204,188	026560-14-5	C:\Database\W10N11_Full.L	211768
							3	(E,E)-.alpha.-farnesene $$ (3E,6E)-3,7,11-TRIMETHYL-1,3,6,10-DODECATETRAENE $$ (3E,6E)-3,7,11-trimethyldodeca-1,3,6,10-tetraene $$ (E)-FARNESENE $$ .alpha.-FARNESENE $$ .alpha.-FARNESENE, (E,E)- $$ .alpha.-FARNESENE, (Z,E)- $$ .beta.-(E)-FARNESENE	70	204,188	2000211-78-3	C:\Database\W10N11_Full.L	211783
43	16,039	3329	27879293	1802414	1815207	0,024	1	Benzoic acid, 3,5-dimethoxy-, methyl ester $$ Methyl 3,5-dimethoxybenzoate $$ 3,5-Dimethoxybenzoic acid methyl ester $$ 3,5-Dihydroxybenzoic acid, dimethyl ether, methyl ester	99	196,074	002150-37-0	C:\Database\W10N11_Full.L	186943
							2	Benzoic acid, 3,4-dimethoxy-, methyl ester $$ Veratric acid, methyl ester $$ 3,4-dimethoxy-benzoic acid, methyl ester $$ METHYL (3,4-DIMETHOXYPHENYL)-METHANOATE $$ methyl 3,4-dimethoxy-benzoate,3,4-dimethoxy-benzoic acid, methyl ester $$ AI3-20957	86	196,074	002150-38-1	C:\Database\W10N11_Full.L	186601
							3	2,3-Epoxy-1,2,3,4-tetrahydroanthracene $$ 1a,2,9,9a-tetrahydroanthra[2,3-b]oxirene	83	196,089	2000189-48-6	C:\Database\W10N11_Full.L	189486
44	16,273	3378	4098421	154740	169185	0,036	1	2-methyl-propanoic acid, 2,2-dimethyl-1-(1-methylethyl)-1,3-propanediyl ester $$ 2-methyl-propanoic acid, 2,2-dimethyl-1-(1-methylethyl)-1,3-propanediyl ester **(Discontinued Registry Number: [53490-81-6]) $$ 2,2,4-TRIMETHYL-1,3-PENTANEDIOL ESTER	72	286,214	006846-50-0	C:\Database\W10N11_Full.L	473065
							2	Furan, 2-butyltetrahydro- (CAS) $$ Octane, 1,4-epoxy- $$ 2-Butyltetrahydrofuran $$ 2-N-BUTYLTETRAHYDROFURAN $$ EINECS 213-718-6	58	128,12	001004-29-1	C:\Database\W10N11_Full.L	36798
							3	4-Hexen-3-ol, 2-methyl- $$ 2-Hexen-4-ol, 5-methyl- $$ 2-Methyl-4-hexen-3-ol	53	114,104	004798-60-1	C:\Database\W10N11_Full.L	22331
45	16,577	3442	242026	14285	32542	0,026	1	Heneicosane $$ HENICOSANE $$ n-hen-eicosane $$ n-heneicosanene $$ n-Henicosane $$ AI3-36479 $$ EINECS 211-118-9	50	296,344	000629-94-7	C:\Database\W10N11_Full.L	505656
							2	Docosane $$ C22H46 STANDARD $$ n-docosane $$ n-docosane n-ALKANE $$ n-docosanene - $$ NORMAL-DOCOSANE $$ EINECS 211-121-5 $$ NSC 77139	50	310,36	000629-97-0	C:\Database\W10N11_Full.L	548197
							3	Octacosane $$ n-octacosane $$ n-octacosanene $$ trace component of sherd of industrial ceramic EUM 526 from Chrysokamino, Crete, Greece, EM III ?, at RT = 38.25n-octacosanen-ALKANE $$ AI3-52615 $$ CCRIS 680 $$ EINECS 211-125-7 $$ NSC 5549	47	394,454	000630-02-4	C:\Database\W10N11_Full.L	748113
46	17,187	3570	396811	14440	29789	0,038	1	2-methyltetracosane	41	352,407	2000661-80-6	C:\Database\W10N11_Full.L	661806
							2	Eicosane $$ ICOSANE $$ EICOSAN $$ n-eicosane $$ n-eicosanen-icosane $$ n-icosane $$ AI3-28404 $$ CCRIS 663 $$ EINECS 204-018-1 $$ NSC 62789	41	282,329	000112-95-8	C:\Database\W10N11_Full.L	461671
							3	Tetradecane, 2,6,10-trimethyl- $$ 2,6,10-trimethyl-tetradecane	38	240,282	014905-56-7	C:\Database\W10N11_Full.L	327245
47	17,306	3595	179309	11491	30233	0,022	1	Eicosane $$ ICOSANE $$ EICOSAN $$ n-eicosane $$ n-eicosanen-icosane $$ n-icosane $$ AI3-28404 $$ CCRIS 663 $$ EINECS 204-018-1 $$ NSC 62789	43	282,329	000112-95-8	C:\Database\W10N11_Full.L	461671
							2	Sulfurous acid, butyl hexadecyl ester	43	362,285	2000683-79-8	C:\Database\W10N11_Full.L	683798
							3	Sulfurous acid, butyl tetradecyl ester	43	334,254	2000615-08-2	C:\Database\W10N11_Full.L	615082
48	17,411	3617	4249823	264789	293339	0,027	1	2-Hexene, 3,5,5-trimethyl- (CAS) $$ (2E)-3,5,5-Trimethyl-2-hexene $$ (2E)-3,5,5-Trimethyl-2-hexene (computer-generated name) $$ (2E)-3,5,5-TRIMETHYL-2-HEXENE # $$ 3,5,5-TRIMETHYL-2-HEXENE	43	126,141	026456-76-8	C:\Database\W10N11_Full.L	34337
							2	2-Hexene, 2,5,5-trimethyl- $$ 2,5,5-TRIMETHYL-2-HEXENE $$ 2,5,5-trimethylhex-2-ene	38	126,141	040467-04-7	C:\Database\W10N11_Full.L	34271
							3	Bis-(3,5,5-trimethylhexyl) ether $$ 3,5,5-trimethyl-1-[(3,5,5-trimethylhexyl)oxy]hexane	38	270,292	2000423-71-2	C:\Database\W10N11_Full.L	423712
49	17,463	3628	78729	8566	40885	0,015	1	Sulfurous acid, butyl undecyl ester	47	292,207	2000490-82-5	C:\Database\W10N11_Full.L	490825
							2	Octadecane $$ n-octadecane $$ OCTADECAN $$ AI3-06523 $$ CCRIS 681 $$ EINECS 209-790-3 $$ NSC 4201	47	254,297	000593-45-3	C:\Database\W10N11_Full.L	371971
							3	Dodecane $$ ACETIC ACID 3-HYDROXY-7-ISOPROPENYL-1,4A-DIMETHYL-2,3,4,4A,5,6,7,8-OCTAHYDRO-NAP $$ ADAKANE 12 $$ BIHEXYL $$ CH3(CH2)10CH3 $$ DIHEXYL $$ DODECAN $$ DUODECANE $$ ISODODECANE $$ N-DODECAN $$ N-DODECANE $$ n-Dodecane from 1-Dodeccene	43	170,203	000112-40-3	C:\Database\W10N11_Full.L	120436
50	17,506	3637	919723	57407	87309	0,024	1	2,2,4,4-Tetramethyloctane $$ 2,2,4,4,-Tetramethyloctane	53	170,203	062183-79-3	C:\Database\W10N11_Full.L	120446
							2	.DELTA. UNDECALACTONE $$ .beta.-UNDECALACTONE $$ .delta.-hexyl-.delta.-valerolactone $$ .delta.-Hexylvalerolactone $$ 2H-PYRAN-2-ONE, 6-HEXYLTETRAHYDRO- $$ 2H-PYRAN-2-ONE, TETRAHYDRO-3-HEXYL- $$ 5-HEXYL-5-HYDROXYPENTANOIC ACID LACTONE $$ AI3-36029	43	184,146	000710-04-3	C:\Database\W10N11_Full.L	155199
							3	Sulfurous acid, 2-ethylhexyl isobutyl ester	38	250,16	2000355-86-3	C:\Database\W10N11_Full.L	355863
51	18,477	3841	728213	46945	58350	0,023	1	Octane, 2,6-dimethyl- $$ 2,6-Dimethyloctane	50	142,172	002051-30-1	C:\Database\W10N11_Full.L	59287
							2	Octane, 3,6-dimethyl- $$ 3,6-Dimethyloctane	38	142,172	015869-94-0	C:\Database\W10N11_Full.L	59198
							3	UNDECANE, 2,5-DIMETHYL- $$ 2,5-DIMETHYLUNDECANE	37	184,219	017301-22-3	C:\Database\W10N11_Full.L	156096
52	19,116	3975	2036243	135515	148022	0,023	1	2-Pentadecanone, 6,10,14-trimethyl- $$ 2-PENTADECANON, 6,10,14-TRIMETHYL- $$ 2-PENTADECANONE, 6,10,14-TRIMETHYL-, (6R,10R)- $$ 2-PENTADECANONE, 6,10,14-TRIMETHYL-, [R-(R*,R*)]- $$ 6,10,14-Trimethyl-2-pentadecanone $$ hexahydro-farnesyl-acetone	91	268,277	000502-69-2	C:\Database\W10N11_Full.L	417087
							2	2-Tridecanone $$ Mathyl undecyl kepoje $$ Methyl undecyl ketone $$ Tridecan-2-one $$ 2-Tridecankje $$ Methyl n-undecyl ketone $$ Tridecanone-2	59	198,198	000593-08-8	C:\Database\W10N11_Full.L	194920
							3	2-Nonanone $$ .beta.-NONANONE $$ 4-METHYL-2-(3,7,11-TRIMETHYL-DODECA-2,4,6,8,10-PENTAENYLIDENEAMINO)-PENT-4-ENENI $$ HEPTYL METHYL KETONE $$ KETONE, HEPTYL METHYL $$ METHYL HEPTYL KETONE $$ METHYL N-HEPTYL KETONE $$ N-C7H15COCH3 $$ NONAN-2-ONE	50	142,136	000821-55-6	C:\Database\W10N11_Full.L	59008
53	19,425	4040	957185	58297	68222	0,026	1	Phthalic acid, isobutyl nonyl ester	78	348,23	2000651-52-4	C:\Database\W10N11_Full.L	651524
							2	Phthalic acid, butyl 2-methoxyethyl ester	78	280,131	2000452-95-4	C:\Database\W10N11_Full.L	452954
							3	Dibutyl phthalate $$ 1,2-Benzenedicarboxylic acid, dibutyl ester $$ Phthalic acid, dibutyl ester $$ n-Butyl phthalate $$ Butyl phthalate $$ Celluflex DPB $$ Elaol $$ Genoplast B $$ Hexaplas M/B $$ Palatinol C $$ Polycizer DBP $$ PX 104 $$ Unimoll DB	78	278,152	000084-74-2	C:\Database\W10N11_Full.L	447155
