Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
7	6,582	1343	5619470	313427	315391	0,028	1	Cyclotetrasiloxane, octamethyl- $$ 2,2,4,4,6,6,8,8-OCTAMETHYL-1,3,5,7,2,4,6,8-TETRAOXATETRASILOCANE $$ 1,1,3,3,5,5,7,7 -octamethyl-cyclo-octa-siloxane $$ 2,2,4,4,6,6,8,8-OCTAMETHYL-[1,3,5,7,2,4,6,8]TETROXATETRASILOCANE $$ KF 994 $$ OMCTS $$ CO9810	78	296,075	000556-67-2	C:\Database\W10N11_Full.L	501770
							2	7-METHYL-7H-DIBENZO[B,G]CARBAZOLE $$ 7H-DIBENZO[B,G]CARBAZOLE, 7-METHYL-	64	281,12	003557-49-1	C:\Database\W10N11_Full.L	457558
							3	2',6'-Dihydroxyacetophenone, bis(trimethylsilyl) ether	56	296,126	2000502-67-8	C:\Database\W10N11_Full.L	502678
8	6,944	1419	706866	39650	41951	0,028	1	1(2H)-Pentalenone, hexahydro-5-methyl-4-methylene- $$ 5-Methyl-4-methylenehexahydro-1(2H)-pentalenone #	49	150,104	120587-85-1	C:\Database\W10N11_Full.L	72880
							2	7a-Methyl-1,2,5,6,7,7a-hexahydroinden-4-one $$ 7a-methyl-1,2,5,6,7,7a-hexahydro-4H-inden-4-one $$ 7a-methyl-2,5,6,7-tetrahydro-1H-inden-4-one	46	150,104	2000072-93-5	C:\Database\W10N11_Full.L	72935
							3	6-Butyl-1,4-cycloheptadiene	43	150,141	022735-58-6	C:\Database\W10N11_Full.L	73179
9	7,22	1477	255527	13523	15238	0,027	1	Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (S)- $$ p-Mentha-1,8-diene, (S)-(-)- $$ 4-ISOPROPENYL-1-METHYL-1-CYCLOHEXENE $$ "inactive limonene" $$ $ (-)-LIMONENE $$ (+)-(4R)-LIMONENE $$ (+)-(R)-LIMONENE $$ (+)-4-ISOPROPENYL-1-METHYLCYCLOHEXENE	72	136,125	005989-54-8	C:\Database\W10N11_Full.L	48774
							2	Cyclohexene, 1-methyl-4-(1-methylethenyl)- $$ p-Mentha-1,8-diene $$ "inactive limonene" $$ $ (-)-LIMONENE $$ ''inactive limonene'' $$ (+)-(4R)-LIMONENE $$ (+)-(R)-LIMONENE $$ (+)-4-ISOPROPENYL-1-METHYLCYCLOHEXENE $$ (+)-LIMONEN $$ (+)-LIMONENE	72	136,125	000138-86-3	C:\Database\W10N11_Full.L	48769
							3	4-ISOPROPENYL-1-METHYL-1-CYCLOHEXENE $$ "inactive limonene" $$ $ (-)-LIMONENE $$ (+)-(4R)-LIMONENE $$ (+)-(R)-LIMONENE $$ (+)-4-ISOPROPENYL-1-METHYLCYCLOHEXENE $$ (+)-LIMONEN $$ (+)-LIMONENE $$ (+)-P-MENTHA-1,8-DIENE $$ (+-)-.alpha.-LIMONENE $$ EC 7	53	136,125	005989-27-5	C:\Database\W10N11_Full.L	48763
10	7,415	1518	3824285	229612	231972	0,026	1	1,3,6-Octatriene, 3,7-dimethyl-, (E)- $$ (3E)-3,7-DIMETHYL-1,3,6-OCTATRIENE $$ (3E)-3,7-dimethylocta-1,3,6-triene $$ (E)-3,7-DIMETHYLOCTA-1,3,6-TRIENE $$ (E)-Ocimene $$ - $$ .beta. OCIMENE Y $$ .beta.-(E)-OCIMENE $$ .beta.-CIS-OCIMENE $$ OCIMENE-X	97	136,125	003779-61-1	C:\Database\W10N11_Full.L	48230
