Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
							3	Benzofuran, 2-methyl- $$ 2-Methylbenzofuran $$ 2-Methylbenzo[b]furan $$ 2-Methylcumarone $$ 2-Methyl-1-benzofuran #	41	132,058	004265-25-2	C:\Database\W10N11_Full.L	42310
28	12,044	2490	65539883	3756382	3767364	0,027	1	ortho-Methoxyacetophenone $$ 2-Methoxyacetophenone $$ o-Methoxyacetophenone $$ 2'-Methoxyacetophenone $$ o-Acetanisole $$ Ethanone, 1-(2-methoxyphenyl)- $$ o-Acetylanisole $$ Acetophenone, 2'-methoxy- $$ o-Methoxy acetophenone	97	150,068	000579-74-8	C:\Database\W10N11_Full.L	71384
							2	Ethanone, 1-(4-methoxyphenyl)- $$ 1-(4-METHOXYPHENYL)ETHANONE $$ 4'-Methoxyacetophenone $$ 4-Acetylanisole $$ 4-Methoxyacetofenon $$ 4-METHOXYACETOPHENON $$ 4-Methoxyacetophenone $$ 4-Methoxyphenyl methyl ketone $$ Acetanisole $$ EPENONE $$ Novatone	87	150,068	000100-06-1	C:\Database\W10N11_Full.L	71551
							3	3-Methyl-6-hydroxybenzo[c]-dihydrofuran $$ 1-Methyl-1,3-dihydro-isobenzofuran-5-ol $$ 3-methyl-2,3-dihydro-1-benzofuran-6-ol $$ 3-methyl-2,3-dihydrobenzofuran-6-ol $$ 3-methylcoumaran-6-ol	83	150,068	2000071-41-2	C:\Database\W10N11_Full.L	71412
29	12,254	2534	4749238	103728	115951	0,059	1	2-Propen-1-ol, 3-phenyl- $$ (2E)-3-PHENYL-2-PROPEN-1-OL $$ (E)-3-phenyl-2-propen-1-ol $$ (E)-3-phenylprop-2-en-1-ol $$ (trans)-Cinnamyl Alcohol $$ (Z)-3-PHENYL-2-PROPEN-1-OL OR CIS-CINNAMYL ALCOHOL $$ .gamma.-Phenylallyl alcohol $$ ALKOHOL SKORICOVY	96	134,073	000104-54-1	C:\Database\W10N11_Full.L	44506
							2	2-Cyclopropylbenzoic asid $$ Benzoic acid, 2-cyclopropyl-	35	162,068	2000098-37-9	C:\Database\W10N11_Full.L	98379
							3	Ethanone, 1-phenyl-, oxime $$ Acetophenone, oxime $$ (1E)-1-Phenylethanone oxime #	35	135,068	000613-91-2	C:\Database\W10N11_Full.L	45564
30	12,53	2592	654961	38805	52679	0,027	1	Cyclohexasiloxane, dodecamethyl- (CAS) $$ Dodecamethylcyclohexasiloxane $$ DODECAMETHYL-CYCLOHEXASILOXANE $$ 2,2,4,4,6,6,8,8,10,10,12,12-Dodecamethylcyclohexasiloxane $$ 2,2,4,4,6,6,8,8,10,10,12,12-DODECAMETHYLCYCLOHEXASILOXANE # $$ EINECS 208-762-8	90	444,113	000540-97-6	C:\Database\W10N11_Full.L	816768
							2	4-(4-Chlorophenyl)-2,6-diphenylpyridine	35	341,097	001498-82-4	C:\Database\W10N11_Full.L	634009
							3	6-[4-Chloro-3-(trifluoromethyl)phenyl]amino-2,8-dimethyl-9H-purine $$ N-[4-chloro-3-(trifluoromethyl)phenyl]-2,8-dimethyl-9H-purin-6-amine $$ N-[4-chloro-3-(trifluoromethyl)phenyl]-N-(2,8-dimethyl-9H-purin-6-yl)amine	35	341,066	2000632-40-4	C:\Database\W10N11_Full.L	632404
31	12,83	2655	1372569	81789	91642	0,026	1	9-Borabicyclo[3.3.1]nonane, 9-(3-pentyloxy)- $$ 9-(1-Ethylpropoxy)-9-borabicyclo[3.3.1]nonane #	44	208,2	2000224-76-5	C:\Database\W10N11_Full.L	224765
							2	1,3-Cyclohexanedione, 5,5-dimethyl-2-(2-propenyl)- $$ 1,3-CYCLOHEXANEDIONE, 2-ALLYL-5,5-DIMETHYL- $$ 2-ALLYL-5,5-DIMETHYL-1,3-CYCLOHEXANEDIONE $$ 2-allyl-5,5-dimethyl-cyclohexane-1,3-dione $$ 2-allyl-5,5-dimethyl-cyclohexane-1,3-quinone	38	180,115	001131-02-8	C:\Database\W10N11_Full.L	143515
							3	4,6-Diamino-O-cresol	25	138,079	2000050-30-2	C:\Database\W10N11_Full.L	50302
32	13,135	2719	1105874	63897	75688	0,027	1	Hexane, 1,6-diisocyanato- (CAS) $$ 1,6-Diisocyanatohexane $$ Hexane 1,6-diisocyanate $$ 1,6-Hexylene diisocyanate $$ Hexamethylene diisocyanate $$ 1,6-Hexamethylene diisocyanate $$ Isocyanic acid, hexamethylene ester $$ 1,6-Diisocyanato-hexane	80	168,09	000822-06-0	C:\Database\W10N11_Full.L	112233
							2	2(3H)-Furanone, dihydro-5-methyl- $$ .gamma.-Methyl-.gamma.-butyrolactone $$ .gamma.-Pentalactone $$ .gamma.-Valerolactone $$ Pentanoic acid, 4-hydroxy-, .gamma.-lactone $$ 4-Hydroxypentanoic acid lactone $$ 4-Hydroxyvaleric acid lactone	43	100,052	000108-29-2	C:\Database\W10N11_Full.L	10939
							3	2-Heptene $$ (2E)-2-HEPTENE $$ (2E)-HEPT-2-ENE $$ (E)-2-C7H14 $$ (E)-2-Heptene $$ (E)-hept-2-ene $$ 2-C7H14 $$ 2-HEPTENE (C,T) $$ 2-HEPTENE, (2E) $$ 2-HEPTENE, (E)- $$ 2-HEPTENE, TRANS- $$ HEPT-2-ENE $$ HEPTYLENE-2, TRANS- $$ trans-2-Heptene	42	98,11	000592-77-8	C:\Database\W10N11_Full.L	10205
33	13,259	2745	79062	7327	29485	0,017	1	4-(tert-butyl)benzoic acid	80	178,099	2000137-89-4	C:\Database\W10N11_Full.L	137894
							2	1,3,4-Trimethyladamantane $$ 1,2,5-Trimethyladamantane #	49	178,172	2000139-30-4	C:\Database\W10N11_Full.L	139304
							3	2-Cyclohepten-1-one, 2-(3-methyl-2-butenyl)- $$ 2-(3-METHYL-2-BUTENYL)-2-CYCLOHEPTEN-1-ONE	46	178,136	069519-71-7	C:\Database\W10N11_Full.L	139059
34	13,416	2778	6785444	394506	416843	0,027	1	2-Propenoic acid, 3-phenyl-, methyl ester $$ Cinnamic acid, methyl ester $$ METHYL (2E)-3-PHENYL-2-PROPENOATE $$ (E)-3-phenyl-2-propenoic acid, methyl ester $$ (E)-3-phenylacrylic acid methyl ester $$ (E)-Methyl cinnamate $$ MC $$ methyl cinnamate	97	162,068	000103-26-4	C:\Database\W10N11_Full.L	98204
							2	2-Propenoic acid, 3-phenyl-, methyl ester, (Z)- $$ Cinnamic acid, methyl ester, (Z)- $$ (Z)-3-phenyl-2-propenoic acid, methyl ester $$ (Z)-3-phenylacrylic acid methyl ester $$ (Z)-ZIMTSAEURE, METHYLESTER $$ cis-cinnamic acid methyl ester	94	162,068	019713-73-6	C:\Database\W10N11_Full.L	98227
							3	(Z)-3-phenyl-2-propenoic acid, methyl ester $$ (Z)-3-phenylacrylic acid methyl ester $$ (Z)-ZIMTSAEURE, METHYLESTER $$ 2-PROPENOIC ACID, 3-PHENYL-, METHYL ESTER, (Z)- $$ CINNAMIC ACID, METHYL ESTER, (Z)- $$ cis-cinnamic acid methyl ester	91	162,068	2000098-22-8	C:\Database\W10N11_Full.L	98228
35	13,573	2811	3180603	196455	208836	0,025	1	1,4-Methanoazulene, decahydro-4,8,8-trimethyl-9-methylene-, (1S,3aR,4S,8aS)-(+)- $$ 1,4-Methanoazulene, decahydro-4,8,8-trimethyl-9-methylene-, [1S-(1.alpha.,3a.beta.,4.alpha.,8a.beta.)]- $$ Longifolene $$ (+)-LONGIFOLEN $$ (+)-LONGOFOLENE	98	204,188	000475-20-7	C:\Database\W10N11_Full.L	212351
							2	2H-2,4a-Methanonaphthalene, 1,3,4,5,6,7-hexahydro-1,1,5,5-tetramethyl-, (2S)- $$ 2H-2,4a-Methanonaphthalene, 1,3,4,5,6,7-hexahydro-1,1,5,5-tetramethyl-, (2S,4aR)-(-)- $$ Isolongifolene $$ (-)-ISOLONGIFOLINE $$ ISOLONGIFOLEN $$ EINECS 214-494-2	95	204,188	001135-66-6	C:\Database\W10N11_Full.L	211740
							3	Ethanone, 1-[2,2-dimethyl-1-(3-methyl-1,3-butadienyl)bicyclo[2.1.0]pent-5-yl]-, (E)- $$ (E)-5-ACETYL-2,2-DIMETHYL-1-(3'-METHYL-1',3'-BUTADIEN-1'-YL)BICYCLO[2.1.0]PENTANE $$ BICYCLO[2.1.0]PENTANE, ETHANONE DERIV.	95	204,151	077822-54-9	C:\Database\W10N11_Full.L	211365
36	13,768	2852	1451762	70391	85157	0,03	1	Aromandendrene $$ 1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, [1aR-(1a.alpha.,4a.alpha.,7.alpha.,7a.beta.,7b.alpha.)]- $$ 1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aR,7R,7aR,7bS)-(+)-	95	204,188	000489-39-4	C:\Database\W10N11_Full.L	212020
							2	1,4-Methano-1H-indene, octahydro-1,7a-dimethyl-4-(1-methylethenyl)-, [1S-(1.alpha.,3a.beta.,4.alpha.,7a.beta.)]-	91	204,188	087064-18-4	C:\Database\W10N11_Full.L	212197
							3	Eremophila-1(10),11-diene $$ Eremophilene $$ Naphthalene, 1,2,3,5,6,7,8,8a-octahydro-1,8a-dimethyl-7-(1-methylethenyl)-, [1S-(1.alpha.,7.alpha.,8a.alpha.)]- $$ 3-ISOPROPENYL-4A,5-DIMETHYL-1,2,3,4,4A,5,6,7-OCTAHYDRONAPHTHALENE $$ (+)-VALENCENE	90	204,188	010219-75-7	C:\Database\W10N11_Full.L	212389
37	13,83	2865	543966	36526	49452	0,023	1	4.beta.H,5.alpha.-Eremophila-1(10),11-diene $$ Naphthalene, 1,2,3,5,6,7,8,8a-octahydro-1,8a-dimethyl-7-(1-methylethenyl)-, [1R-(1.alpha.,7.beta.,8a.alpha.)]- $$ Valencene $$ 3-ISOPROPENYL-4A,5-DIMETHYL-1,2,3,4,4A,5,6,7-OCTAHYDRONAPHTHALENE	98	204,188	004630-07-3	C:\Database\W10N11_Full.L	212392
							2	1,4-Methanoazulene, decahydro-4,8,8-trimethyl-9-methylene-, (1S,3aR,4S,8aS)-(+)- $$ 1,4-Methanoazulene, decahydro-4,8,8-trimethyl-9-methylene-, [1S-(1.alpha.,3a.beta.,4.alpha.,8a.beta.)]- $$ Longifolene $$ (+)-LONGIFOLEN $$ (+)-LONGOFOLENE	98	204,188	000475-20-7	C:\Database\W10N11_Full.L	212337
							3	2H-2,4a-Methanonaphthalene, 1,3,4,5,6,7-hexahydro-1,1,5,5-tetramethyl-, (2S)- $$ 2H-2,4a-Methanonaphthalene, 1,3,4,5,6,7-hexahydro-1,1,5,5-tetramethyl-, (2S,4aR)-(-)- $$ Isolongifolene $$ (-)-ISOLONGIFOLINE $$ ISOLONGIFOLEN $$ EINECS 214-494-2	97	204,188	001135-66-6	C:\Database\W10N11_Full.L	211745
38	14,011	2903	204222	13751	21472	0,023	1	1,4-Benzenedicarboxylic acid, [4-(methoxycarbonyl)phenyl]methyl methyl ester $$ 1-[4-(METHOXYCARBONYL)BENZYL]4-METHYL TEREPHTHALATE $$ (4-(METHOXYCARBONYL)PHENYL)METHYL METHYL TEREPHTHALATE $$ METHYL (4-CARBOMETHOXYBENZYL) TEREPHTHALATE (IMPURITY)	38	328,095	055334-51-5	C:\Database\W10N11_Full.L	598174
							2	1,4-Cycloheptadiene, 6-(1-butenyl)-, [S-(Z)]- $$ 6-[(1E)-1-BUTENYL]-1,4-CYCLOHEPTADIENE $$ 1,4-CYCLOHEPTADIENE, 6-(1-BUTENYL)-, (Z)-(R)-(-)- $$ 1,4-Cycloheptadiene, 6-(1-butenyl)-, (Z)-(S)-(+)- $$ 1,4-CYCLOHEPTADIENE, 6-(1-BUTENYL)-, [R-(Z)]-	38	148,125	033156-92-2	C:\Database\W10N11_Full.L	69020
							3	Methyl (N-pivaloyl-pyruvoyl)anthranilate $$ methyl 2-[(5,5-dimethyl-2,4-dioxohexanoyl)amino]benzoate $$ Methyl N-pivaloylpyruvoylanthrarnilate	37	305,126	2000531-51-8	C:\Database\W10N11_Full.L	531518
39	14,616	3030	1416023	78098	89504	0,028	1	1-Tetradecene $$ .alpha.-TETRADECENE $$ 1-BUTADECENE $$ 1-TETRADECYLENE $$ 3-Undecyl-1-propene $$ DIALENE 14 $$ N-TETRADEC-1-ENE $$ NEODENE 14 $$ TETRADEC-1-ENE $$ TETRADECANE $$ TETRADECENE-1 $$ AI3-10509 $$ CCRIS 3785 $$ EINECS 214-306-9	90	196,219	001120-36-1	C:\Database\W10N11_Full.L	189553
							2	1-dodecanol $$ 1-DODECYL ALCOHOL $$ 1-hydroxy-dodecane $$ ADOL 10 $$ ADOL 11 $$ ADOL 12 $$ ALCOHOL C-12 $$ Alcohol C-2 $$ ALFOL 12 $$ C12 ALCOHOL $$ CACHALOT L-50 $$ CACHALOT L-90 $$ CO 12 $$ CONOL 20P $$ CONOL 20PP $$ DODECAN-1-OL $$ DODECANOL	90	186,198	000112-53-8	C:\Database\W10N11_Full.L	160938
							3	1-tridecanol $$ 1-Hydroxytridecane $$ 1-TRIDECANOL, ALUMINUM SALT $$ ALUMINIUM TRIDECAN-1-OLATE $$ ALUMINUM TRIDECANATE $$ C13 Linear primary alcohol $$ n-Tridecan-1-ol $$ n-Tridecanol $$ n-Tridecyl alcohol $$ primary tridecyl alcohol $$ Tridecanol	87	200,214	000112-70-9	C:\Database\W10N11_Full.L	200398
40	14,806	3070	14400340	931475	943060	0,025	1	Ethanone, 1-(2,4,6-trimethylphenyl)- $$ 1-MESITYLETHANONE $$ (2,4,6-TRIMETHYLPHENYL)ETHANONE $$ 1,3,5-TRIMETHYL-2-ACETYLBENZENE $$ 1-(2,4,6-trimethylphenyl)ethanone $$ 2',4',6'-Trimethylacetophenone $$ 2,4,6-TRIMETHYL-ACETOPHENONE $$ Acetomesitylene	95	162,104	001667-01-2	C:\Database\W10N11_Full.L	99351
							2	Ethanone, 1-(2,4,5-trimethylphenyl)- $$ Acetophenone, 2',4',5'-trimethyl- $$ 2',4',5'-Trimethylacetophenone $$ 1-(2,4,5-Trimethylphenyl)-ethanone $$ 2,4,5-Trimethyl-acetophenone	93	162,104	002040-07-5	C:\Database\W10N11_Full.L	98938
							3	4-(t-Butyl)benzaldehyde $$ 4-tert-Butylbenzaldehyde $$ Benzaldehyde, 4-(1,1-dimethylethyl)- $$ 4-t-Butylbenzaldehyde	81	162,104	000939-97-9	C:\Database\W10N11_Full.L	99146
41	14,939	3098	1210283	61899	72395	0,029	1	Naphthalene, 1,2,3,5,6,7,8,8a-octahydro-1,8a-dimethyl-7-(1-methylethenyl)-, [1R-(1.alpha.,7.beta.,8a.alpha.)]- $$ 4.beta.H,5.alpha.-Eremophila-1(10),11-diene $$ (+)-Valencene $$ Valencen $$ Valencene $$ Valencene 85	94	204,188	004630-07-3	C:\Database\W10N11_Full.L	212400
							2	Naphthalene, 1,2,3,5,6,7,8,8a-octahydro-1,8a-dimethyl-7-(1-methylethenyl)-, [1S-(1.alpha.,7.alpha.,8a.alpha.)]- $$ Eremophila-1(10),11-diene $$ Eremophilene $$ 3-Isopropenyl-4a,5-dimethyl-1,2,3,4,4a,5,6,7-octahydronaphthalene #	86	204,188	010219-75-7	C:\Database\W10N11_Full.L	212398
							3	1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aS,7R,7aR,7bS)-(-)- $$ 1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, [1aR-(1a.alpha.,4a.beta.,7.alpha.,7a.beta.,7b.alpha.)]- $$ Alloaromadendrene	83	204,188	025246-27-9	C:\Database\W10N11_Full.L	212004
42	15,097	3131	12822950	876390	890357	0,023	1	(3E,6E)-3,7,11-TRIMETHYL-1,3,6,10-DODECATETRAENE $$ (3E,6E)-3,7,11-trimethyldodeca-1,3,6,10-tetraene $$ (E)-FARNESENE $$ (E,E)-.alpha.-FARNESENE $$ .alpha.-FARNESENE $$ .alpha.-FARNESENE, (E,E)- $$ .alpha.-FARNESENE, (Z,E)- $$ .beta.-(E)-FARNESENE	98	204,188	000502-61-4	C:\Database\W10N11_Full.L	211781
							2	1,3,6-Octatriene, 3,7-dimethyl-, (E)- $$ (3E)-3,7-DIMETHYL-1,3,6-OCTATRIENE $$ (3E)-3,7-dimethylocta-1,3,6-triene $$ (E)-3,7-DIMETHYLOCTA-1,3,6-TRIENE $$ (E)-Ocimene $$ - $$ .beta. OCIMENE Y $$ .beta.-(E)-OCIMENE $$ .beta.-CIS-OCIMENE $$ OCIMENE-X	50	136,125	003779-61-1	C:\Database\W10N11_Full.L	48230
							3	(2E,6E,9E)-2,6,10-TRIMETHYL-2,6,9,11-DODECATETRAENAL $$ (2E,6E,9E)-2,6,10-trimethyldodeca-2,6,9,11-tetraenal $$ (E,E,E)-2,6,10-TRIMETHYLDODECA-2,6,9,11-TETRAEN-1-AL $$ .alpha.-Sinensal $$ .beta.-Sinensal $$ 2,6,10-TRIMETHYL,-2,6,9,11-DODECATETRAENAL	49	218,167	017909-77-2	C:\Database\W10N11_Full.L	255133
43	16,044	3330	5585194	352591	362836	0,024	1	Benzoic acid, 3,5-dimethoxy-, methyl ester $$ Methyl 3,5-dimethoxybenzoate $$ 3,5-Dimethoxybenzoic acid methyl ester $$ 3,5-Dihydroxybenzoic acid, dimethyl ether, methyl ester	97	196,074	002150-37-0	C:\Database\W10N11_Full.L	186943
							2	2,3-Epoxy-1,2,3,4-tetrahydroanthracene $$ 1a,2,9,9a-tetrahydroanthra[2,3-b]oxirene	83	196,089	2000189-48-6	C:\Database\W10N11_Full.L	189486
							3	Benzoic acid, 3,4-dimethoxy-, methyl ester $$ Veratric acid, methyl ester $$ 3,4-dimethoxy-benzoic acid, methyl ester $$ METHYL (3,4-DIMETHOXYPHENYL)-METHANOATE $$ methyl 3,4-dimethoxy-benzoate,3,4-dimethoxy-benzoic acid, methyl ester $$ AI3-20957	80	196,074	002150-38-1	C:\Database\W10N11_Full.L	186601
44	16,273	3378	1497536	70343	80381	0,031	1	Propanoic acid, 2-methyl-, 1-(1,1-dimethylethyl)-2-methyl-1,3-propanediyl ester $$ 1-[2-(Isobutyryloxy)-1-methylethyl]-2,2-dimethylpropyl 2-methylpropanoate #	53	286,214	074381-40-1	C:\Database\W10N11_Full.L	473081
							2	Tetrahydrofurfuryl chloride $$ Furan, 2-(chloromethyl)tetrahydro- $$ 2-(Chloromethyl)tetrahydrofuran	47	120,034	003003-84-7	C:\Database\W10N11_Full.L	27106
							3	Butanoic acid, anhydride $$ Butyric anhydride $$ n-Butyric acid anhydride $$ n-Butyric anhydride $$ Butanoic anhydride $$ Butyric acid anhydride $$ Butyryl oxide $$ n-Butanoic anhydride $$ Anhydrid kyseliny maselne $$ Butyranhydrid $$ UN 2739	47	158,094	000106-31-0	C:\Database\W10N11_Full.L	90258
45	17,411	3617	3091197	149607	160835	0,031	1	2-Hexene, 3,5,5-trimethyl- (CAS) $$ (2E)-3,5,5-Trimethyl-2-hexene $$ (2E)-3,5,5-Trimethyl-2-hexene (computer-generated name) $$ (2E)-3,5,5-TRIMETHYL-2-HEXENE # $$ 3,5,5-TRIMETHYL-2-HEXENE	43	126,141	026456-76-8	C:\Database\W10N11_Full.L	34337
							2	2-Hexene, 2,5,5-trimethyl- $$ 2,5,5-TRIMETHYL-2-HEXENE $$ 2,5,5-trimethylhex-2-ene	43	126,141	040467-04-7	C:\Database\W10N11_Full.L	34271
							3	Propanedioic acid, hexyl-, diethyl ester $$ 2-hexylmalonic acid diethyl ester $$ 2-hexylpropanedioic acid diethyl ester $$ DIETHYL 2-HEXYLMALONATE $$ diethyl 2-hexylpropanedioate $$ DIETHYL ESTER OF HEPTAN-1,1-DICARBOXYLIC ACID $$ EINECS 226-425-3	38	244,167	005398-10-7	C:\Database\W10N11_Full.L	337413
46	19,121	3976	2168134	147017	160845	0,024	1	2-Pentadecanone, 6,10,14-trimethyl- $$ 2-PENTADECANON, 6,10,14-TRIMETHYL- $$ 2-PENTADECANONE, 6,10,14-TRIMETHYL-, (6R,10R)- $$ 2-PENTADECANONE, 6,10,14-TRIMETHYL-, [R-(R*,R*)]- $$ 6,10,14-Trimethyl-2-pentadecanone $$ hexahydro-farnesyl-acetone	90	268,277	000502-69-2	C:\Database\W10N11_Full.L	417083
							2	2-Tridecanone $$ Mathyl undecyl kepoje $$ Methyl undecyl ketone $$ Tridecan-2-one $$ 2-Tridecankje $$ Methyl n-undecyl ketone $$ Tridecanone-2	47	198,198	000593-08-8	C:\Database\W10N11_Full.L	194921
							3	2-Hexanone, 4-methyl- $$ 4-METHYL-2-HEXANONE $$ 4-methylhexan-2-one $$ METHYL 2-METHYLBUTYL KETONE $$ NSC 128218	38	114,104	000105-42-0	C:\Database\W10N11_Full.L	22353
47	19,43	4041	315831	20519	29139	0,022	1	2-Thiophen-2-yl-1H-pyrrole $$ 2-(2-thienyl)-1H-pyrrole	64	149,03	2000069-62-6	C:\Database\W10N11_Full.L	69626
							2	1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester $$ Phthalic acid, diisobutyl ester $$ Diisobutyl phthalate $$ Hexaplas M/1B $$ Isobutyl phthalate $$ Palatinol IC $$ DIBP $$ Diisobutylester kyseliny ftalove $$ Kodaflex DIBP $$ NSC 15316	64	278,152	000084-69-5	C:\Database\W10N11_Full.L	447319
							3	1,2-Benzenedicarboxylic acid, dibutyl ester $$ ARALDITE 502 $$ benzene-1,2-dicarboxylic acid dibutyl ester $$ BENZENE-O-DICARBOXYLIC ACID, DI-N- $$ BENZENE-O-DICARBOXYLIC ACID, DI-N-BUTYL ESTER $$ BENZENEDICARBOXYLIC ACID, DIBUTYL ESTER $$ BUFA	50	278,152	000084-74-2	C:\Database\W10N11_Full.L	447175
