Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
							3	1,1,1,3,3,5,5,7,7-Nonamethyltetrasiloxane	64	296,112	2000501-82-8	C:\Database\W10N11_Full.L	501828
7	6,944	1419	988147	53409	55194	0,028	1	Bicyclo[3.3.1]non-6-ene-3,9-dione	50	150,068	2000071-37-0	C:\Database\W10N11_Full.L	71370
							2	Bicyclo[3.3.1]non-6-ene-3,9-dione $$ bicyclo[3.3.1]non-6-ene-3,9-quinone	50	150,068	2000071-36-9	C:\Database\W10N11_Full.L	71369
							3	2-Cyclohexen-1-one, 2-(2-methyl-2-propenyl)- $$ 2-Cyclohexen-1-one, 2-(2-methylallyl)- $$ 2-(2-METHYL-2-PROPENYL)-2-CYCLOHEXEN-1-ONE $$ 2-(2-methylallyl)cyclohex-2-en-1-one $$ 2-(2-methylprop-2-enyl)-1-cyclohex-2-enone	49	150,104	018926-98-2	C:\Database\W10N11_Full.L	72889
8	7,22	1477	398622	22007	24483	0,027	1	Cyclohexene, 1-methyl-4-(1-methylethenyl)- $$ p-Mentha-1,8-diene $$ "inactive limonene" $$ $ (-)-LIMONENE $$ ''inactive limonene'' $$ (+)-(4R)-LIMONENE $$ (+)-(R)-LIMONENE $$ (+)-4-ISOPROPENYL-1-METHYLCYCLOHEXENE $$ (+)-LIMONEN $$ (+)-LIMONENE	95	136,125	000138-86-3	C:\Database\W10N11_Full.L	48793
							2	Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (S)- $$ p-Mentha-1,8-diene, (S)-(-)- $$ 4-ISOPROPENYL-1-METHYL-1-CYCLOHEXENE $$ "inactive limonene" $$ $ (-)-LIMONENE $$ (+)-(4R)-LIMONENE $$ (+)-(R)-LIMONENE $$ (+)-4-ISOPROPENYL-1-METHYLCYCLOHEXENE	93	136,125	005989-54-8	C:\Database\W10N11_Full.L	48774
							3	1,5-CYCLOOCTADIENE, 1,5-DIMETHYL- $$ (1Z,5Z)-1,5-dimethylcycloocta-1,5-diene $$ 1,5-DIMETHYL CYCLOOCTADIENE $$ 1,5-DIMETHYL-1,5-CYCLOOCTADIENE $$ 1,5-DIMETHYLCYCLOOCTA-1,5-DIENE $$ EINECS 223-173-6	89	136,125	003760-14-3	C:\Database\W10N11_Full.L	48542
9	7,416	1518	2873182	158210	163156	0,027	1	1,3,7-Octatriene, 3,7-dimethyl-, (E)- $$ (3E)-3,7-DIMETHYL-1,3,7-OCTATRIENE $$ (3E)-3,7-dimethylocta-1,3,7-triene $$ .alpha.-OCIMENE $$ 1,3,7-OCTATRIENE, 3,7-DIMETHYL- $$ 2,6-DIMETHYL-1,5,7-OCTATRIENE $$ 3,7-DIMETHYL-1,3,7-OCTATRIENE $$ CIS-OCIMENE	96	136,125	006874-10-8	C:\Database\W10N11_Full.L	48752
							2	1,3,6-Octatriene, 3,7-dimethyl-, (E)- $$ (3E)-3,7-DIMETHYL-1,3,6-OCTATRIENE $$ (3E)-3,7-dimethylocta-1,3,6-triene $$ (E)-3,7-DIMETHYLOCTA-1,3,6-TRIENE $$ (E)-Ocimene $$ - $$ .beta. OCIMENE Y $$ .beta.-(E)-OCIMENE $$ .beta.-CIS-OCIMENE $$ OCIMENE-X	96	136,125	003779-61-1	C:\Database\W10N11_Full.L	48230
							3	.beta.-Ocimene $$ 1,3,6-Octatriene, 3,7-dimethyl- $$ Ocimene $$ 3,7-Dimethyl-1,3,6-octatriene $$ beta-Ocimene	93	136,125	013877-91-3	C:\Database\W10N11_Full.L	48225
10	7,635	1564	119351755	7277237	7286236	0,026	1	1,3,6-Octatriene, 3,7-dimethyl-, (E)- $$ (3E)-3,7-DIMETHYL-1,3,6-OCTATRIENE $$ (3E)-3,7-dimethylocta-1,3,6-triene $$ (E)-3,7-DIMETHYLOCTA-1,3,6-TRIENE $$ (E)-Ocimene $$ - $$ .beta. OCIMENE Y $$ .beta.-(E)-OCIMENE $$ .beta.-CIS-OCIMENE $$ OCIMENE-X	98	136,125	003779-61-1	C:\Database\W10N11_Full.L	48227
							2	.beta.-Ocimene $$ 1,3,6-Octatriene, 3,7-dimethyl- $$ Ocimene $$ 3,7-Dimethyl-1,3,6-octatriene $$ beta-Ocimene	97	136,125	013877-91-3	C:\Database\W10N11_Full.L	48225
							3	1,3,6-Octatriene, 3,7-dimethyl-, (Z)- $$ .beta.-cis-Ocimene $$ cis-.beta.-Ocimene $$ cis-3,7-Dimethyl-1,3,6-octatriene $$ Ocimene, cis-.beta.- $$ (Z)-Ocimene $$ cis-Ocimene $$ (3Z)-3,7-Dimethyl-1,3,6-octatriene $$ .beta.-Ocimene, (Z)-	96	136,125	003338-55-4	C:\Database\W10N11_Full.L	48238
11	8,049	1651	647010034	21077485	21084114	0,045	1	1-phenyl-ethanone $$ acetophenone1-phenyl-ethanone $$ acetophenone1-phenyl-ethanone aceto-benzene acetyl-benzenebenzoyl methide hypnonemethyl phenyl ketone $$ Ethanone, 1-phenyl- $$ .alpha.-Acetophenone $$ 1-Phenyl-1-ethanone $$ aceto-benzene	97	120,058	000098-86-2	C:\Database\W10N11_Full.L	27501
12	8,597	1766	216936608	12036154	12051060	0,029	1	Benzoic acid, methyl ester $$ BENZOESAEURE, METHYLESTER $$ benzoesaure-methylester $$ Clorius $$ Essence of niobe $$ METHOXYCARBONYL-BENZENE $$ Methyl benzenecarboxylate $$ Methyl benzoate $$ Methyl ester of benzoic acid $$ methyl phenylcarboxylate	95	136,052	000093-58-3	C:\Database\W10N11_Full.L	46841
							2	Benzoic acid, hydrazide (CAS) $$ Benzoic acid hydrazide $$ NSC 644 $$ Benzhydrazide $$ Benzohydrazine $$ Benzohydrazide $$ Benzoylhydrazine $$ Benzoic hydrazide $$ Benzoyl hydrazide $$ Hydrazine, benzoyl- $$ Benzenecarboxylic acid hydrazide	91	136,064	000613-94-5	C:\Database\W10N11_Full.L	46614
13	8,682	1784	122455950	7465335	7482892	0,026	1	3-Carene $$ Bicyclo[4.1.0]hept-3-ene, 3,7,7-trimethyl- $$ (+)-3-CAREN $$ (+-)-3-CARENE $$ (+-)-DELTA3-CARENE $$ .delta. 3-CARENE $$ .delta.(SUP3)-CARENE $$ 2-ACETYL-5-CHLOROMETHYL-ISOXAZOLIDIN-3-ONE $$ 3,7,7-trimethyl-3-norcarene (?) $$ 3-KAREN	91	136,125	013466-78-9	C:\Database\W10N11_Full.L	48568
							2	.beta.-Ocimene $$ 1,3,6-Octatriene, 3,7-dimethyl- $$ Ocimene $$ 3,7-Dimethyl-1,3,6-octatriene $$ beta-Ocimene	83	136,125	013877-91-3	C:\Database\W10N11_Full.L	48232
							3	1,4-Cyclohexadiene, 1-methyl-4-(1-methylethyl)- $$ p-Mentha-1,4-diene $$ 1-ISOPROPYL-4-METHYL-1,4-CYCLOHEXADIENE $$ .gamma.-Terpinen $$ .gamma.-Terpinene $$ .gamma.-Terpinene[1-isopropyl-4-methyl-1,4-cyclohexadiene] $$ 1,4-p-Menthadiene $$ Crithmene	81	136,125	000099-85-4	C:\Database\W10N11_Full.L	48875
14	8,768	1802	2495191	95770	115940	0,037	1	Nonanal $$ Nonanaldehyde $$ 1-NONALDEHYDE $$ 1-NONANAL $$ 1-NONYL ALDEHYDE $$ ALDEHYDE C-9 $$ C-9 ALDEHYDE $$ N-NONALDEHYDE $$ N-NONAN-1-AL $$ N-NONANAL $$ N-NONYLALDEHYDE $$ NONALDEHYDE $$ NONANOIC ALDEHYDE $$ NONOIC ALDEHYDE $$ NONYL ALDEHYDE, N-	49	142,136	000124-19-6	C:\Database\W10N11_Full.L	58787
							2	Benzoic acid, methyl ester $$ Methyl benzoate $$ Clorius $$ Methyl benzenecarboxylate $$ Niobe oil $$ Oil of Niobe $$ Essence of niobe $$ Methylester kyseliny benzoove $$ Oxidate le $$ UN 2938 $$ Methyl ester of benzoic acid $$ Oniobe oil	25	136,052	000093-58-3	C:\Database\W10N11_Full.L	46846
							3	1-Pentene, 3-ethyl- $$ 3-Ethyl-1-pentene	25	98,11	004038-04-4	C:\Database\W10N11_Full.L	10320
15	9,235	1900	312305	14955	30399	0,028	1	2,4,6-Octatriene, 2,6-dimethyl- $$ Alloocimene $$ (4E,6E)-2,6-DIMETHYL-2,4,6-OCTATRIENE $$ (4E,6E)-2,6-dimethylocta-2,4,6-triene $$ (E,E)-2,6-DIMETHYL-2,4,6-OCTATRIENE $$ 2,6-DIMETHYL-2,4,6-OCTATRIENE $$ 2,6-DIMETHYLOCTA-2,4,6-TRIENE $$ Ocimene	81	136,125	000673-84-7	C:\Database\W10N11_Full.L	48148
							2	.beta.-Ocimene $$ 1,3,6-Octatriene, 3,7-dimethyl- $$ (4E,6Z)-2,6-DIMETHYL-2,4,6-OCTATRIENE $$ (4E,6Z)-2,6-dimethylocta-2,4,6-triene $$ (4E,6Z)-ALLOCIMENE $$ (4E,6Z)-ALLOOCIMENE $$ (E,Z)-2,6-DIMETHYLOCTA-2,4,6-TRIENE $$ .beta.-OCIMENE-X $$ OCIMENE	76	136,125	013877-91-3	C:\Database\W10N11_Full.L	48132
